Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
CAVE,Carlsbad Caverns National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn,Antilocapra americana americana,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Artiodactyla,Bovidae,95069,180719,Active,Ammotragus lervia,"Aoudad, Barbary Sheep",,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Artiodactyla,Cervidae,155879,-501601,Inactive,Cervus canadensis,Rocky Mountain Elk,"Cervus elaphus nelsoni, Cervus canadensis nelsoni",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,"Odocoileus hemionus canus, Odocoileus hemionus crooki",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,"Collared Peccary, Javelina","Pecari tajacu angulatus, Pecari angulatus angulatus",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans texensis,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Common Gray Fox,Urocyon cinereoargenteus scottii,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,Vulpes macrotis neomexicana,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,"Lynx rufus texensis, Felis rufus, Lynx rufus uinta",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,"Felis concolor, Felis couguar aztecus",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Mephitidae,93305,180567,Active,Conepatus leuconotus,White-backed Hog-nosed Skunk,"Conepatus leuconotus leuconotus, Conepatus mesoleucus mearnsi, Conepatus mesoleucus",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,"Mephitis mesomelas varians, Mephitis mephitis varians",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,"Spilogale leucoparia, Spilogale gracilis leucoparia",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata neomexicana,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,"Taxidea taxus berlandieri, Taxidea berlandieri",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Northern Raccoon,Procyon lotor mexicanus,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,Ursus americanus amblyceps,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian Free-tailed Bat,"Tadarida mexicana mexicana, Tadarida brasiliensis mexicana",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrozous pallidus pallidus,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's Big-eared Bat,"Corynorhinus townsendii pallescens, Plecotus townsendii pallescens, Corynorhinus macrotis pallescens",Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,Eptesicus fuscus pallidus,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,Eastern Red Bat,Nycteris borealis,Present
CAVE,Carlsbad Caverns National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,"Nycteris cinerea, Lasiurus cinereus cinereus",Present
